,WER,CER,BLEU,WordNet_first,WordNet_all,GloVe,BERT,Sent2Vec
count,5252.0,5252.0,5252.0,5252.0,5252.0,5252.0,5252.0,5252.0
mean,0.3125435790905923,0.2334467751556715,0.5281057603729106,0.3980566702366137,0.3312819418743678,0.8999507389723281,0.9364765041932657,0.006426223127422457
std,0.4705248028235258,0.34520593206766526,0.3836619157843718,0.2073399036280789,0.16675031915717475,0.24988384603984087,0.09477159109025675,0.010412352401387064
min,0.0,0.0,0.0,0.0,0.0,-0.5565075874328613,0.257918506860733,0.0
25%,0.0588235294117647,0.04,5.327392271747226e-78,0.3307546228000987,0.2914392063191401,0.9600586742162704,0.9147094488143921,0.0
50%,0.1666666666666666,0.1428571428571428,0.6460180660245605,0.381405139386757,0.3270894291761338,0.9930452108383179,0.9789676666259766,0.00237938761711115
75%,0.4210526315789473,0.3181818181818182,0.8605147409263733,0.46257290163540143,0.37752979129838304,0.9992880672216417,0.9952608197927475,0.00827993452548975
max,8.4,10.125,1.0,1.0,1.0,1.0000003576278689,1.0000003576278689,0.2695735692977905
